0,Column 9,名前,セリフ,立ち絵,背景,SE,BGM,備考
1,,,,なし,背景８,,雲の隙間,
2,,星野,私は天才である。少なくとも、この教室にいる皆はそう思っていることだろう。,,一枚絵１,,,
3,,星野,「ふぁ……あ……」,,,,,
4,,進藤,「星野さん、随分と眠そうだね」,,,,,
4,,星野,「そりゃ、この程度の授業じゃねー。眠くもなるわよ」,,,,,
4,,進藤,「わーお、全国模試で名前が出ただけはある」,,,,,
4,,星野,「あら、知ってたの？」,,,,,
5,,進藤,「先生方も騒いでたもの。この学校始まって以来のことだーって」,,,,,
5,,星野,「１位を獲ったならまだしも、二桁順位で騒がれてもねぇ。あのくらい、誰だって獲れるわよ」,,,,,
5,,進藤,「おおぅ……これが、持つものの傲慢さか」,,,,,
6,,星野・心の声,――誰だって獲れる？　いやいや、そんなわけはない。私は家で毎日８時間は勉強している。寝る間も惜しんでそこまでやって、ようやく全国模試で名前が載るところまで来れたのだ。何の努力もせずボサッと星野彼女たちでは、到底無理なこと。,,,,,
7,,星野・心の声,でも、そんなことは言わない。学校では怠惰にしているのに、さらっと好成績を獲る。格好良い天才。崇められる対象。羨望の的。それが星野ソラ。私は、自分をそう定義したのである。,,,,,
8,,進藤,「ねえ、星野さん、それならさ――」,,,,,
8,,進藤,「――彼女でも、成績上がるのかな？」,,,,,
9,,,OP,,,,,
10,,先生,「暮六！　また寝てるのか、お前は！」,,背景８,,カフェオレオレオ,
10,,暮六,「ひゃうっ！？　お、起きてます起きてます！」,立ち絵12,,,,
11,,先生,「そうか。じゃあ、問３の答えは？」,,,,,
11,,暮六,「は、はい。えーと……」,立ち絵18,,,,
12,,暮六,「……」,立ち絵6,,,,
12,,先生,「……」,,,,,
13,,暮六,「……先生、質問いいですか？」,立ち絵16,,,,
13,,先生,「なんだ？」,,,,,
14,,暮六,「な……何ページ目の問３でしょうか？」,立ち絵15,,,,
15,,先生,「バカモノーッ！！！！！」,,背景７,,,
15,,暮六,「ご、ごめんなさーいっ！」,なし,,,,
16,,星野心の声,教師に頭を抱えさせるクラスメイト、暮六ひつじ。彼女は私とは対象的に、この学校きっての劣等生だ。,,一枚絵２,,,
17,,星野心の声,暮六さんはとにかくよく寝る。授業の何割起きているのかというくらい寝て寝て寝まくる。そんな状態で成績が良いはずもなく、下位をひた走っているとの噂である。,,,,,
18,,暮六,「お、起きてなきゃ……起きてなきゃ……」,,,,,
18,,星野心の声,どこにでもいる落ちこぼれ。,,,,,
18,,星野心の声,『華麗なる私の人生に一瞬だけ現れたどうでもいい端役』、それが私から彼女への評価のすべてだった。,,,,,ルビ：『華麗なる私の人生に一瞬だけ現れたどうでもいい端役』（モブ）
19,,星野心の声,すべて、だったのだ。,,,,,
20,[END],,,,カット,,,
21,,,,,背景５,,,
22,,,,,背景６,,,
23,,,,,,ページめくり音,,
24,,星野,「うーん……なんか、集中できないわね……」,,,,,
25,,星野,「……」,,,,,
26,,星野,「……落ちこぼれ、か」,,,,,
27,,星野心の声,暮六さんは劣等生だ。そこは疑いようもない。クラスでの評価も教師の評価も、何より、私の評価がそうなのだから動かしようがない。,,一枚絵２,,,
28,,星野心の声,ただ、私があそこまで劣等生になったとして――,,背景６,,,
28,,星野,「――私が暮六さんだったら、学校になんて通えるかしら？」,,,,,
29,,星野心の声,クラスの誰からもバカにされて、なお通うというのは、とてもつらいことだと思うのだ。だったら、起きていられるよう夜に眠るなり医者に薬を処方してもらうなりすれば良いのだが……。,,,,,
30,,,,,,,,
31,,星野,「はぁ……気分転換しましょうか」,,,,,
32,,,,,カット,,,
33,,,,,背景３,,,
34,,星野,「へぇ……思ったよりいい景色じゃない」,,一枚絵３,,,
35,,星野心の声,マンションの屋上から見上げる夜空は幻想的だった。瞬く星に、天上で輝く大きな大きな月。雲は空を映し出すスクリーンのように広がっていた。,,,,,ルビ：瞬く（マタタ）
36,,星野心の声,コートの隙間から出た顔を、ひんやりと撫でる風が心地よい。街の喧騒から遠く、人の声もテレビの音も夜の静寂に飲まれている。このまま、何時間でも空を見上げてぼんやりとしていたいと思えた。,,,,,ルビ：静寂（シジマ）
37,,,,,,,,
38,,星野心の声,不意に、背にしたドアが開く音がした。せっかくいい気分だったというのに、無粋な闖入者もあったものだ。いや、屋上も夜空も私だけのものではないのだが。それでもね。,,,,,ルビ・辞書：闖入者（チンニュウシャ）
39,,星野,「えっ？」,,背景３,,,
40,,暮六,「星野さん……？」,立ち絵12,,,カフェオレオレオ,
40,,星野,「く、暮六さん？」,,,,,
41,,暮六,「星野さん、どうしてこんなところに？」,立ち絵１,,,,
41,,星野,「いや、それはこっちのセリフなんだけど……」,,,,,
42,,暮六,「はっ！　もしや、星野さんはこのマンションに盗みに入りに……！」,立ち絵12,,,,
42,,星野,「んなわけあるか！　私はここの住人よ！」,,,,,
43,,暮六,「しーっ！　星野さん、声が大きいです。まだあたし以外誰も見ていません。今のうちに、逃げてください」,立ち絵19,,,,
43,,星野,「いや、なんで、私が下手な嘘を吐いたみたいになってんのよ？本当よ。本当に、私はここの住人なの」,,,,,
44,,暮六,「仮に、星野さんが本当にここの住人だったとして」,,,,,
44,,星野,「本当なのよ」,,,,,
44,,暮六,「それでも、こんな時間に屋上に来るのは変だと思いませんか？」,,,,,
44,,星野,「その言葉、そっくりそのまま返していいかしら？」,,,,,
45,,暮六,「あたしはいいんです。夜の方が過ごしやすいですから」,立ち絵1,,,,
45,,星野,「口ぶりからして暮六さんもここの住人なんだろうけど、ダメよ？　そうやって、夜更かししてるから授業中に起きてられないのよ」,,,,,
45,,暮六,「うっ、それを言われるとつらいです」,,,,,
46,,星野,「はいはい。わかったら、帰って寝なさい。部屋まで戻れる？　トイレに行ける？」,立ち絵19,,,,
46,,暮六,「子供じゃないんですから、それくらいできますよ！」,,,,,
46,,星野,「だったら、さっさと帰んなさい」,,,,,
46,,暮六,「ああー、待って待って、押さないで、押さないでください」,,,,,
47,,暮六,「わかりました！　事情を話します！　事情を話しますから！」,立ち絵22,,,,
47,,星野,「事情ぅ？　夜更かしに、んなもんあるの？」,,,,,
47,,暮六,「あるの！　あるんです！」,,,,,
47,,星野,「じゃ、言ってご覧なさいよ」,,,,,
48,,暮六,「何を隠そう、このあたし、夜さっぱり眠れない病の患者なのです！！！！！」,立ち絵４,,,,
48,,星野,「帰って寝ろ」,,,,,
48,,暮六,「ああー！　待って待って！　本当です、本当なんですっ！」,,,,,
48,,星野,「うるっせぇ！　そんな、けったいな名前の病気があるかァ！」,,,,,
49,,暮六,「ノスフェラトゥ病と呼ばれる罹患者がほとんどいない病気です。これ、大学病院のお医者さんの診断書です」,立ち絵17,,,,
49,,星野,「え、嘘……なんで、診断書なんて持ち歩いてんのよ？」,,,,,
49,,暮六,「表を出歩くと、たまに星野さんみたいな事情を知らない善意の第三者にぶつかるからです」,,,,,
49,,星野,「うっ、ちょっと納得できる理由」,,,,,
50,,暮六,「大真面目な話ですよ。今、スマホで調べてもらっても構いません。日本での症例として、あたしの年齢とイニシャルが確認できるはずですから」,立ち絵19,,,,
50,,星野,「うわ、本当にあるし！？」,,,,,
51,,暮六,「ふふん、星野さんもようやくわかってくれましたか」,立ち絵１,,,,
51,,星野,「ああうん……さすがに、年齢イニシャル他の特徴が合致していて疑うつもりはない。悪かったわ」,,,,,
52,,星野,「じゃあ、私はそろそろ帰るけど、暮六さんも暇つぶしはほどほどにしておきなよ？」,立ち絵17,,,,
52,,暮六,「ええ、そうしておきます」,,,,,
53,,星野,「しかし、ノスフェラトゥ病ねぇ……ちょっと、格好良いわね」,立ち絵３,,,,小文字など
54,,暮六,「星野さんっ！　わかってくれますか、この格好良さ！」,なし,一枚絵４,,カフェオレオレオ,
54,,星野,「うわ、びっくりしたぁっ！？」,,,,,
55,,暮六,「そうですよ！　ノスフェラトゥですよ、ノスフェラトゥ！　吸血鬼な名前ですよ！　これもう、名付けたえらいお医者さんもきっと格好良いと思ってほくそ笑んだに違いないですよ！」,,,,,
55,,星野,「い、いや、私は別にそこまで」,,,,,
55,,暮六,「星野さん」,,,,,
55,,星野,「な、何よ？」,,,,,
55,,暮六,「このノスフェラトゥ病は――」,,,,,
56,,暮六,「――かかると、いい具合に髪の色素が抜けていって、きれいな銀髪になるんですよ！」,,,,,
56,,星野,「なにそれ、すっげぇかっけぇ！！！！！」,,,,,
57,,暮六,「ふっふっふ……やはり、星野さんもこの格好良さがわかる逸材でしたか……！」,,,,,
57,,星野,「――あっ」,,,,,効果音とか画面効果
58,,星野,「い、いや、私は別にそういうのは――」,,,,,
58,,暮六,「他にもノスフェラトゥと呼ばれるにふさわしい理由がたくさんあるのですが……気になりませんか？」,,,,,
58,,星野,「ううっ！」,,,,,
59,,星野,「ううぅ……っ！」,,,,,
60,,星野,「……認めるので、聞かせてください」,,,,,
60,,暮六,「喜んで！」,,,,,
61,,星野心の声,こうして、天才のような私は、中二病的な病人、暮六さんと友人になってしまったのである。,,,,,ルビ：厨二病的（ｷﾝｾﾝﾆﾌﾚﾙ）
62,,,,,カット,,,
63,,,,,背景３,,,
64,,暮六,「枕投げしましょう！」,立ち絵４,,,,
64,,星野,「よし、帰って寝る」,,,,,
64,,暮六,「あれぇ！？　反応悪くないですか！？」,,,,,
65,,星野,「いや、むしろ、なんで良い反応が返ってくると思ったのよ？夜中に屋上で枕投げとか意味分かんないわよ」,立ち絵22,,,,
65,,暮六,「そこはホラ、夜に友達とする遊びということで」,,,,,
65,,星野,「枕投げは屋内競技よ」,,,,,
65,,暮六,「なんと」,,,,,
66,,暮六,「そうなると、あとは恋バナとか？」,立ち絵１,,,,
66,,星野,「……」,,,,,
66,,星野,「ひつじ、語れることあるの？」,,,,,
66,,暮六,「ないです」,,,,,
66,,星野,「ダメじゃん」,,,,,
67,,暮六,「あたしは恋人とか要らないからいいんですぅー！　決して、負け惜しみじゃないからいいんですぅー！」,立ち絵５,,,,
67,,星野,「そうね。負け惜しみじゃないなら別に問題ないわね。何も問題ないわ。ええ」,,,,,
67,,暮六,「くぁあああ！　慈愛のこもってない挑発的な目があたしを襲うぅううう！」,,,,,
67,,星野,「挑発っていうか、バカにしてんのよ」,,,,,
67,,暮六,「ァァァァァ！　ヌッコロス！」,,,,,
67,,星野,「日本語しゃべんなさいよ」,,,,,
68,,暮六,「ていうか！　星野さんはどーなんですかっ！　彼氏がいるなんて聞いたことないですよっ！」,立ち絵19,,,,
68,,星野,「そりゃまあ、彼氏なんて要らないからいないし」,,,,,
69,,暮六,「なーんだ、やっぱり仲間じゃないですかー」,立ち絵23,,,,
69,,星野,「そうね。普通、ガリ勉はモテないっていうし」,,,,,
69,,暮六,「ですよね！　ですよねっ！」,,,,,
69,,星野,「まあ、全国模試３桁番くらいのガチで東大行くレベルになると、確実に将来性があるからモテるんだけど」,,,,,
69,,暮六,「ァァァァァ！」,,,,,
69,,星野,「だから、日本語しゃべんなさいって」,,,,,
70,,星野,「てか、ひつじは彼氏なんか欲しいの？」,立ち絵18,,,,
70,,暮六,「あ、それは本当に要らないです。でも、それはそれとしてモテたい」,,,,,
70,,星野,「なんだ、この女」,,,,,
70,,暮六,「世の中はもっとあたしをチヤホヤすべき」,,,,,
70,,星野,「なんだ、この女」,,,,,
71,,星野心の声,この女、もとい、ひつじとマンションの屋上で出会ってから１週間が過ぎた。,,,,HIRAHIRA,
72,,星野心の声,それでわかったことだが、ひつじはおバカである。,立ち絵１,背景１,,,
73,,星野心の声,"夜中なら、本当に、いつ来ても居る。
そして、だいたい余計なものをなんか持ってる。",,,,,
73,,暮六,「あ、星野さん！　これ、わんちゃん用のブラシなんですけど、わんちゃんが気持ち良さそうにしてたんで借りてきたんですよ！」,,,,,
73,,星野心の声,翌朝、きれいな黒髪に犬の毛が混ざったまま登校してた。,,,,,
74,,星野心の声,"あるいは、私との話題作りにあえて突拍子もないものを持ってきているのかもしれない。
でも、刃物は叱った。ビビるわ。ビビったわ。",立ち絵17,背景３,,,
74,,暮六,「同級生に叱られたの初めて」,,,,,
74,,星野心の声,こっちだって同級生叱ったの初めてだよ。,,,,,
75,,星野心の声,あと、私が部屋に戻ろうとすると必ず引き留める。,立ち絵11,,,,
75,,暮六,「これ、聞いた話なんだけど、あまり寝過ぎると、人間ってバカになるんだよ？　だから、もうちょっと、ね？ね？」,,,,,
75,,星野心の声,私は日中も勉強するんだから寝かせろ。,,,,,
76,,星野心の声,そんな感じで、何かと手はかかるが、深夜の勉強の気分転換には良い存在。それが、私からのひつじの評価だ。,,,,,
77,,暮六,「それじゃ、星野さん、おやすみ。また明日ね！」,立ち絵20,,,,
77,,星野,「……私が気分転換しないかもしれないとは思わないわけ？」,,,,,
77,,暮六,「え？　なんで？」,,,,,
77,,星野,「なんでって……」,,,,,
78,,暮六,「だって、あたしたち友達でしょ？　だから、遊びに来てくれてるんだもの。疑う余地なんてないわ」,,,,,
79,,星野心の声,あー……。,,,,,
80,,星野心の声,おバカという評価は訂正しようと思う。,立ち絵１,,,,
80,,星野,「……ひつじ、あんたさ」,,,,,
80,,暮六,「え？　何々？」,,,,,
80,,星野心の声,彼女は――,,,,,
81,,星野,「実は長いことボッチだった？」,,背景５,,,
81,,暮六,「なんで、急にディスったの！？」,,,,,
81,,星野心の声,――愛すべきおバカである。,立ち絵11,,,,
82,,,,なし,カット,,,
83,,,,,カット,,,
84,,,,,背景３,,,
85,,暮六,「勉強教えてください」,"立ち絵15
（パジャマ）",,,,
