（No.）,カテゴリー (Category),表示(ID),数値 (Param),"終了待ち(EventWait)",補足（Comment）,セリフ(ID),NAME,日本語 (JP)【プロローグ】,英語 (EN),中国語 (CH)
1,CINEMASCOPE,CS_IN,,,,,,,,
2,TEXT,TEST_MS_001,-,0,-,TEST_MS_001,TESTER1,テキスト表示,-,-
3,TEXT,TEST_MS_002,-,0,-,TEST_MS_002,TESTER1,あああああああああああああああああああああああああああ,-,-
4,TEXT,TEST_MS_006,-,0,,TEST_MS_003,TESTER2,表示テスト終了,,
5,PIC,PIC_FACE_SEA_PLEASURE,-,0,-,TEST_MS_004,TESTER1,フェードインフェードアウトそれぞれ1秒実行,-,-
6,TEXT,TEST_MS_005,-,0,,TEST_MS_005,TESTER2,PICの演出表示テスト,,
7,PIC,PIC_EMO_SEA,-,0,-,TEST_MS_006,TESTER1,PICの表情表示テスト,-,-
8,TEXT,TEST_MS_007,-,0,-,TEST_MS_007,TESTER2,WAITテスト:2秒,,
9,WAIT,-,2,0,-,TEST_MS_008,TESTER1,CAMERA追従およびEV_WALKのテスト,-,-
10,TEXT,TEST_MS_008,-,0,-,TEST_MS_009,TESTER2,CINEMASCOPEのONOFFテスト,,
11,CAMERA,FOLLOW_SEA,1,0,-,TEST_MS_010,,-,,
12,EV,PIX_CARA_SEA_W_TIE,2,1,-,-,,-,-,-
13,CAMERA,-,0,0,-,-,,,,
14,TEXT,TEST_MS_004,-,0,-,-,,,-,-
15,FADEOUT,-,1,0,-,-,,,-,-
16,FADEIN,-,1,0,-,-,,-,-,-
17,TEXT,TEST_MS_009,,,,,,,,
18,CINEMASCOPE,CS_OUT,-,0,-,-,,-,-,-
19,CINEMASCOPE,CS_IN,-,0,-,-,,-,-,-
20,TEXT,TEST_MS_003,-,0,-,-,,-,-,-
21,NON,-,-,0,-,-,,-,-,-
22,NON,-,-,0,-,-,,-,-,-
23,NON,-,-,0,-,-,,-,-,-
24,NON,-,-,0,-,-,,-,-,-
25,NON,-,-,0,-,-,,-,-,-
26,NON,-,-,0,-,-,,-,-,-
27,NON,-,-,0,-,-,,-,-,-
28,NON,-,-,0,-,-,,-,-,-
29,NON,-,-,0,-,-,,-,-,-
30,NON,-,-,0,-,-,,-,-,-
31,NON,-,-,0,-,-,,-,-,-
32,NON,-,-,0,-,-,,-,-,-
33,NON,-,-,0,-,-,,-,-,-
34,NON,-,-,0,-,-,,-,-,-
35,NON,-,-,0,-,-,,-,-,-
36,NON,-,-,0,-,-,,-,-,-
37,NON,-,-,0,-,-,,-,-,-
38,NON,-,-,0,-,-,,-,-,-
39,NON,-,-,0,-,-,,-,-,-
40,NON,-,-,0,-,-,,-,-,-
41,NON,-,-,0,-,-,,-,-,-
42,NON,-,-,0,-,-,,-,-,-
43,NON,-,-,0,-,-,,-,-,-
44,NON,-,-,0,-,-,,-,-,-
45,NON,-,-,0,-,-,,-,-,-
46,NON,-,-,0,-,-,,-,-,-
47,NON,-,-,0,-,-,,-,-,-
48,NON,-,-,0,-,-,,-,-,-
49,NON,-,-,0,-,-,,-,-,-
50,NON,-,-,0,-,-,,-,-,-
51,NON,-,-,0,-,-,,-,-,-
52,NON,-,-,0,-,-,,-,-,-
53,NON,-,-,0,-,-,,-,-,-
54,NON,-,-,0,-,-,,-,-,-
55,NON,-,-,0,-,-,,-,-,-
56,NON,-,-,0,-,-,,-,-,-
57,NON,-,-,0,-,-,,-,-,-
58,NON,-,-,0,-,-,,-,-,-
59,NON,-,-,0,-,-,,-,-,-
60,NON,-,-,0,-,,,,,
61,NON,-,-,0,-,,,,,
62,NON,-,-,0,-,,,,,
63,NON,-,-,0,-,,,,,
64,NON,-,-,0,-,,,,,
65,NON,-,-,0,-,,,,,
66,NON,-,-,0,-,,,,,
67,NON,-,-,0,-,,,,,
68,NON,-,-,0,-,,,,,
69,NON,-,-,0,-,,,,,
70,NON,-,-,0,-,,,,,
71,NON,-,-,0,-,,,,,
72,NON,-,-,0,-,,,,,
73,NON,-,-,0,-,,,,,
74,NON,-,-,0,-,,,,,
75,NON,-,-,0,-,,,,,
76,NON,-,-,0,-,,,,,
77,NON,-,-,0,-,,,,,
78,NON,-,-,0,-,,,,,
79,NON,-,-,0,-,,,,,
80,NON,-,-,0,-,,,,,
81,NON,-,-,0,-,,,,,
82,NON,-,-,0,-,,,,,
83,NON,-,-,0,-,,,,,
84,NON,-,-,0,-,,,,,
85,NON,-,-,0,-,,,,,
86,NON,-,-,0,-,,,,,
87,NON,-,-,0,-,,,,,
88,NON,-,-,0,-,,,,,
89,NON,-,-,0,-,,,,,
90,NON,-,-,0,-,,,,,
91,NON,-,-,0,-,,,,,
92,NON,-,-,0,-,,,,,
93,NON,-,-,0,-,,,,,
94,NON,-,-,0,-,,,,,
95,NON,-,-,0,-,,,,,
