（No.）,カテゴリー (Category),表示(ID),数値 (Param),"終了待ち(EventWait)",補足（Comment）,セリフ(ID),NAME,日本語 (JP)【プロローグ】,英語 (EN),中国語 (CH)
1,TEXT,TEST_MS_001,-,0,-,TEST_MS_001,TESTER1,テキスト表示,-,-
2,TEXT,TEST_MS_002,-,0,-,TEST_MS_002,TESTER1,あああああああああああああああああああああああああああ,-,-
3,TEXT,TEST_MS_006,-,0,,TEST_MS_003,TESTER2,表示テスト終了,,
4,PIC,PIC_FACE_SEA_PLEASURE,-,0,-,TEST_MS_004,TESTER1,フェードインフェードアウトそれぞれ1秒実行,-,-
5,TEXT,TEST_MS_005,-,0,,TEST_MS_005,TESTER2,PICの演出表示テスト,,
6,PIC,PIC_EMO_SEA,-,0,-,TEST_MS_006,TESTER1,PICの表情表示テスト,-,-
7,TEXT,TEST_MS_007,-,0,-,TEST_MS_007,TESTER2,WAITテスト:2秒,,
8,WAIT,-,2,0,-,TEST_MS_008,TESTER1,CAMERA追従およびEV_WALKのテスト,-,-
9,TEXT,TEST_MS_008,-,0,-,TEST_MS_009,,,,
10,CAMERA,FOLLOW_SEA,1,0,-,TEST_MS_010,,-,,
11,EV,PIX_CARA_SEA_W_TIE,2,1,-,-,,-,-,-
12,CAMERA,-,0,0,-,-,,,,
13,TEXT,TEST_MS_004,-,0,-,-,,,-,-
14,FADEOUT,-,1,0,-,-,,,-,-
15,FADEIN,-,1,0,-,-,,-,-,-
16,TEXT,TEST_MS_003,-,0,-,-,,-,-,-
17,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,-,,-,-,-
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
,NON,-,-,0,-,,,,,
